Fabricante,Edad,Primera Dosis,Primera Dosis (std),Segunda Dosis,Segunda Dosis (std),Cuarta Dosis,Cuarta Dosis (std),Dosis Refuerzo,Dosis Refuerzo (std),Dosis Única,Unica Dosis
Campaña SARS-CoV-2 (AstraZeneca),3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CanSino,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Janssen),3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Moderna),3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Pfizer),3,1.0,1.0,0.0,0.0,189.0,189.0,102.0,102.0,0.0,0.0
Campaña SARS-CoV-2 (Sinovac),3,199408.0,199408.0,160120.0,160120.0,3892.0,3892.0,50638.0,50638.0,0.0,0.0
,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (AstraZeneca),4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CanSino,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Janssen),4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Moderna),4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Pfizer),4,2.0,2.0,21.0,21.0,5071.0,5071.0,36060.0,36060.0,0.0,0.0
Campaña SARS-CoV-2 (Sinovac),4,176821.0,176821.0,151231.0,151231.0,178.0,178.0,21536.0,21536.0,0.0,0.0
,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (AstraZeneca),5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CanSino,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Janssen),5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Moderna),5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Pfizer),5,1346.0,1346.0,536.0,536.0,8633.0,8633.0,78995.0,78995.0,0.0,0.0
Campaña SARS-CoV-2 (Sinovac),5,197410.0,197410.0,173778.0,173778.0,10.0,10.0,371.0,371.0,0.0,0.0
,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (AstraZeneca),6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CanSino,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Janssen),6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Moderna),6,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0
Campaña SARS-CoV-2 (Pfizer),6,1372.0,1372.0,519.0,519.0,26237.0,26237.0,158675.0,158675.0,0.0,0.0
Campaña SARS-CoV-2 (Sinovac),6,270632.0,270632.0,251824.0,251824.0,7.0,7.0,109.0,109.0,0.0,0.0
,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (AstraZeneca),7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CanSino,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Janssen),7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Moderna),7,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Campaña SARS-CoV-2 (Pfizer),7,786.0,786.0,293.0,293.0,26107.0,26107.0,150457.0,150457.0,0.0,0.0
Campaña SARS-CoV-2 (Sinovac),7,239532.0,239532.0,227106.0,227106.0,6.0,6.0,90.0,90.0,0.0,0.0
,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (AstraZeneca),8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CanSino,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Janssen),8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Moderna),8,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Campaña SARS-CoV-2 (Pfizer),8,602.0,602.0,227.0,227.0,27800.0,27800.0,150672.0,150672.0,0.0,0.0
Campaña SARS-CoV-2 (Sinovac),8,232521.0,232521.0,222036.0,222036.0,6.0,6.0,88.0,88.0,0.0,0.0
,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (AstraZeneca),9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CanSino,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Janssen),9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Moderna),9,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0
Campaña SARS-CoV-2 (Pfizer),9,638.0,638.0,275.0,275.0,29205.0,29205.0,158223.0,158223.0,0.0,0.0
Campaña SARS-CoV-2 (Sinovac),9,238134.0,238134.0,228488.0,228488.0,4.0,4.0,81.0,81.0,0.0,0.0
,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (AstraZeneca),10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CanSino,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Janssen),10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Moderna),10,0.0,0.0,0.0,0.0,238.0,238.0,42.0,42.0,0.0,0.0
Campaña SARS-CoV-2 (Pfizer),10,605.0,605.0,287.0,287.0,29894.0,29894.0,164364.0,164364.0,0.0,0.0
Campaña SARS-CoV-2 (Sinovac),10,244094.0,244094.0,234990.0,234990.0,9.0,9.0,103.0,103.0,0.0,0.0
,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (AstraZeneca),11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CanSino,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Janssen),11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Moderna),11,0.0,0.0,0.0,0.0,945.0,945.0,152.0,152.0,0.0,0.0
Campaña SARS-CoV-2 (Pfizer),11,707.0,707.0,459.0,459.0,32283.0,32283.0,177304.0,177304.0,0.0,0.0
Campaña SARS-CoV-2 (Sinovac),11,247914.0,247914.0,240173.0,240173.0,38.0,38.0,111.0,111.0,0.0,0.0
,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (AstraZeneca),12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CanSino,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Janssen),12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Moderna),12,0.0,0.0,0.0,0.0,808.0,808.0,116.0,116.0,0.0,0.0
Campaña SARS-CoV-2 (Pfizer),12,53647.0,53647.0,50327.0,50327.0,57453.0,57453.0,207059.0,207059.0,0.0,0.0
Campaña SARS-CoV-2 (Sinovac),12,213775.0,213775.0,210866.0,210866.0,38.0,38.0,99.0,99.0,0.0,0.0
,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (AstraZeneca),13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
